日期,510300_华泰柏瑞,510310_易方达,510330_华夏,159919_嘉实,515330_天弘,159925_南方,510360_广发,510350_工银,前两只规模合计,八只规模合计
2026-04-05,1991.774799,1363.102337,899.581023,921.361088,83.117407,25.220003,29.041404,32.306661,3354.877136,5345.504722
2026-04-06,1991.774799,1363.102337,899.581023,921.361088,83.117407,25.220003,29.041404,32.306661,3354.877136,5345.504722
2026-04-07,1994.879641,1361.359219,897.932032,919.595675,82.857258,25.226509,28.922118,32.264858,3356.23886,5343.03731
2026-04-08,1994.879641,1361.359219,897.932032,919.595675,82.857258,25.226509,28.922118,32.264858,3356.23886,5343.03731
2026-04-09,2064.952376,1400.239709,924.670453,946.739586,86.364871,27.125862,29.918014,33.663125,3465.192085,5513.673996
2026-04-10,2077.935029,1417.28844,935.130045,955.432327,87.47092,26.513186,30.085109,33.985002,3495.223469,5563.840058
2026-04-11,2077.935029,1417.28844,935.130045,955.432327,87.47092,26.513186,30.085109,33.985002,3495.223469,5563.840058
2026-04-12,2077.935029,1417.28844,935.130045,955.432327,87.47092,26.513186,30.085109,33.985002,3495.223469,5563.840058
2026-04-13,2082.411407,1422.023257,936.871082,956.814437,87.694198,26.57569,30.204766,34.08355,3504.434664,5576.678387
2026-04-14,2066.607229,1426.620803,944.378004,962.272818,88.342093,26.223418,30.224982,34.385452,3493.228032,5579.054799
2026-04-15,2056.262454,1422.229575,940.214315,958.691461,88.014657,25.911465,30.174241,34.245389,3478.492029,5555.743557
2026-04-16,2056.262454,1422.229575,940.214315,958.691461,88.014657,25.911465,30.174241,34.245389,3478.492029,5555.743557
2026-04-17,2070.217346,1439.831748,948.376701,966.650609,89.062451,26.307975,30.535888,34.560531,3510.049094,5605.543249
2026-04-18,2070.217346,1439.831748,948.376701,967.050511,88.450448,26.779017,30.535888,34.560531,3510.049094,5605.80219
